Timestamp,Quantum_Decision,Weight_Entropy
14:32:29,0.77241731,0.48933822
14:32:30,0.02471502,0.48933822
14:32:30,0.94222313,0.51776958
14:32:31,0.73788595,0.47414219
14:32:31,0.03149777,0.47414219
14:32:32,0.96088701,0.47414219
14:32:33,0.39763665,0.44178921
14:32:33,0.99385953,0.44178921
14:32:34,0.99712557,0.44178921
14:32:34,0.98498803,0.49252456
14:32:35,0.01862054,0.50735295
14:32:35,0.39754567,0.50735295
14:32:36,0.73910922,0.50735295
14:32:36,0.42588106,0.45134807
14:32:37,0.87955499,0.51593137
14:32:37,0.14731757,0.51593137
14:32:38,0.00753875,0.51593137
14:32:38,0.39940473,0.48566180
14:32:43,0.99961710,0.52242649
14:32:43,0.48755419,0.52242649
14:32:44,0.00109141,0.52242649
14:32:44,0.08149818,0.47536767
14:32:45,0.82716960,0.43651962
14:32:46,0.02941629,0.43651962
14:32:46,0.10859074,0.48848045
14:32:47,0.98408765,0.51678926
14:32:47,0.92610818,0.51678926
14:32:48,0.47954500,0.51678926
14:32:48,0.22929402,0.53504902
14:32:49,0.72789574,0.45943630
14:32:49,0.03681431,0.45943630
14:32:50,0.25370321,0.45943630
14:32:50,0.47864294,0.65502453
14:32:51,0.01910890,0.57046568
14:32:51,0.15540674,0.57046568
14:32:52,0.09899772,0.57046568
14:32:52,0.15006822,0.44705886
14:32:53,0.07323704,0.48737746
14:32:54,0.94496083,0.48737746
14:32:54,0.49287951,0.52806377
14:32:55,0.37998825,0.49509805
14:32:55,0.98897946,0.49509805
14:32:56,0.80820727,0.49509805
14:32:56,0.67755359,0.51299018
14:32:57,0.18817776,0.36666667
14:32:57,0.03462665,0.36666667
14:32:58,0.18547690,0.36666667
14:32:58,0.22880329,0.52512258
14:32:59,0.85762918,0.46727937
14:33:00,0.75139242,0.46727937
14:33:00,0.80474347,0.53897059
14:33:01,0.80223393,0.48651963
14:33:01,0.67401409,0.48651963
14:33:02,0.10602332,0.48651963
14:33:02,0.65748370,0.47561273
14:33:03,0.02252946,0.48750004
14:33:03,0.96331060,0.48750004
14:33:04,0.21121320,0.48750004
14:33:04,0.05724550,0.53296572
14:33:05,0.96822327,0.47867650
14:33:05,0.11885170,0.47867650
14:33:06,0.00438553,0.47867650
14:33:06,0.58000594,0.58370095
14:33:07,0.11535256,0.55281866
14:33:07,0.98927861,0.55281866
14:33:08,0.88112509,0.55281866
14:33:08,0.88002771,0.47401959
14:33:09,0.93944007,0.52610296
14:33:09,0.08467314,0.52610296
14:33:10,0.18336584,0.52610296
14:33:11,0.03821915,0.56360298
14:33:11,0.78486800,0.56360298
14:33:12,0.00356351,0.56360298
14:33:12,0.00233487,0.43811280
14:33:13,0.00501658,0.53088236
14:33:13,0.09727961,0.53088236
14:33:14,0.99322176,0.53088236
14:33:14,0.01821641,0.48921567
14:33:15,0.11427109,0.50637257
14:33:15,0.07001285,0.50637257
14:33:16,0.23662227,0.50637257
14:33:16,0.27228719,0.46776959
14:33:17,0.07212936,0.53835785
14:33:17,0.83544827,0.53835785
14:33:18,0.74647057,0.53835785
14:33:18,0.89328748,0.45098037
14:33:19,0.94663811,0.51029414
14:33:19,0.99785739,0.51029414
14:33:20,0.79667443,0.51029414
14:33:20,0.98771405,0.50514710
14:33:21,0.88477349,0.49803922
14:33:21,0.01603343,0.49803922
14:33:22,0.12863487,0.49803922
14:33:23,0.06650057,0.43958339
14:33:23,0.16235638,0.43958339
14:33:24,0.73950309,0.43958339
14:33:24,0.72246253,0.52340686
14:33:25,0.96802241,0.50759810
14:33:25,0.76327002,0.50759810
14:33:26,0.78110039,0.50759810
14:33:26,0.02132129,0.48149508
14:33:27,0.63654768,0.46482846
14:33:27,0.07649256,0.46482846
14:33:28,0.00702595,0.46482846
14:33:28,0.64342475,0.46090686
14:33:29,0.01432992,0.50477940
14:33:29,0.98782945,0.50477940
14:33:30,0.18578985,0.50477940
14:33:30,0.97229284,0.55637252
14:33:31,0.38909081,0.53529412
14:33:31,0.39771113,0.53529412
14:33:32,0.81325197,0.53529412
14:33:32,0.29615754,0.47585785
14:33:33,0.93744004,0.47585785
14:33:34,0.01269536,0.47585785
14:33:34,0.76375860,0.50318623
